Time,Cp
hr,ug/L
0.1,25
0.15,35
0.25,42
0.5,48
0.75,46.5
0.8,47
1,46
1.25,44.5
1.5,45
2,42.1
3,63
4,70.15
5,72
6,65
8,55
12,39
24,14
